sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
436,Ranchi,NI HOSPITAL (A UNIT OF,"x: 0651-2330499, Mail: rch_rajhosp@sancharnet.in, NICHILDRENHOSPITAL& RESEARCH CENTRE PVT., D.), front of Governor House, Behind Machali, oty Road, Ranchi,, l: 0651-6573808, 9204062251,, nchi Cancer Hospital & Research Centre (","0651-2330499                                                                  11; 0651-6573808, 9204062251,",rch_rajhosp@sancharnet.in,"(OPD & Indoor) Total facilities of hospital Ghar, (OPD & Indoor) A unit",11.07.2019,
437,Ranchi,nchi Cancer Hospital & Research Centre (,"front of Governor House, Behind Machali, oty Road, Ranchi,, l: 0651-6573808, 9204062251,, TATA Cancer Care Foundation),, ot No. 580, Kadma, Kanke, Ranchi- 834006, REE JAGANNATH HOSPITAL & RESEARCH CENTRE, hind Machhli Ghar, Booty Road, (via- Rad","0651-6573808, 9204062251,",,"Ghar, (OPD & Indoor) A unit Acceptable for Oncology Services only (OPD and IPD) Total facilities of hospital ium Both for Indoor and Outdoor",12.05.2025,
438,Ranchi,REE JAGANNATH HOSPITAL & RESEARCH CENTRE,"ot No. 580, Kadma, Kanke, Ranchi- 834006, hind Machhli Ghar, Booty Road, (via- Rad, ad), Ranchi-834001,, l: 0651-2360045, 2360309,, b:9234369079, 9431101163, danta ABDUR RAZZAQUE ANSARI MEMORIAL","0651-2360045, 2360309,",,"Services only (OPD and IPD) Total facilities of hospital ium Both for Indoor and Outdoor Services Modification N.B. Payment to be made in w.e.f. favour of ""Jagannath Life Care Private Limited""",05.04.2011,"Tel: 0651-2360045, 2360309,                        N.B. Payment to be made in      w.e.f."
439,Ranchi,danta ABDUR RAZZAQUE ANSARI MEMORIAL,"l: 0651-2360045, 2360309,, b:9234369079, 9431101163, AVERS’ HOSPITAL (A unit of Global Health, d.), O Irba, Ranchi-835238, Jharkhand,, L : 0651 - 7123100/ 3241030 FAX : 0651 –, 23200., Mail: info@medanta.org, G CURIE ABDUR RAZZAQUE ANSARI CANCER, STITUTE, UNIT OF HEALTHCARE GLOBAL ENTERPRISES","0651-2360045, 2360309,; 0651 - 7123100/ 3241030; 0651",info@medanta.org,"N.B. Payment to be made in w.e.f. favour of ""Jagannath Life Care Private Limited"" Total facilities of hospital Pvt. Modified on (OPD & Indoor) Payment to 25/9/2018 be made in favor of Global Health Private Limited , Name of",06.04.16,"Tel: 0651-2360045, 2360309,                        N.B. Payment to be made in      w.e.f. (OPD & Indoor) Payment to P.O Irba, Ranchi-835238, Jharkhand,                 be made in favor of Global"
440,Ranchi,L : 0651 - 7123100/ 3241030 FAX : 0651 –,"23200., Mail: info@medanta.org, G CURIE ABDUR RAZZAQUE ANSARI CANCER, STITUTE, UNIT OF HEALTHCARE GLOBAL ENTERPRISES, MITED), ba, Ranchi, Jharkhand – 835217, : 0651-2275300, 2276300, 6453190, x: 0651-2275189, Mail: cuierranchi.hcg@sachealthcare.com, VKAMAL HOSPITAL & RESEARCH CENTRE, jra, Itki Road (Near ITI Bus Stand)","0651 - 7123100/ 3241030; 0651; 0651-2275300, 2276300, 6453190; 0651-2275189",info@medanta.org; cuierranchi.hcg@sachealthcare.com,"Health Private Limited , Name of Acceptable for Cancer Hospital Treatment only modified on 2.7.2024",17.07.2012,
441,Ranchi,VKAMAL HOSPITAL & RESEARCH CENTRE,"ba, Ranchi, Jharkhand – 835217, : 0651-2275300, 2276300, 6453190, x: 0651-2275189, Mail: cuierranchi.hcg@sachealthcare.com, jra, Itki Road (Near ITI Bus Stand),, nchi-834005, :-0651-2512094, FaX:- 0651-2512091, bile:-09431109615/09204055638, mail:- devkamalhospicare@gmail.com, LMOHAR HOSPITAL, ardagga, NH-33, Booty Road, Ranchi","0651-2275300, 2276300, 6453190; 0651-2275189; 0651-2512094,; 0651-2512091                (",devkamalhospicare@gmail.com; cuierranchi.hcg@sachealthcare.com,Treatment only modified on 2.7.2024 Total facilities of hospital (OPD & Indoor) Acceptable for Orthopedic,17.07.2012,
442,Ranchi,LMOHAR HOSPITAL,":-0651-2512094, FaX:- 0651-2512091, bile:-09431109615/09204055638, mail:- devkamalhospicare@gmail.com, ardagga, NH-33, Booty Road, Ranchi, : 9234180809, 9905324238, 9852816903, mail : dranchal@dranchal.com, M PYARI ORTHOPAEDIC HOSPITAL & TRAUMA, NTRE PVT. LTD., dav Bhawan, KaramToli, Ranchi -834001","0651-2512094,; 0651-2512091                (; 9234180809, 9905324238, 9852816903                                                 17",devkamalhospicare@gmail.com; dranchal@dranchal.com,(OPD & Indoor) Acceptable for Orthopedic Services only Acceptable for Orthopedic,17.07.2012,
443,Ranchi,M PYARI ORTHOPAEDIC HOSPITAL & TRAUMA,"mail : dranchal@dranchal.com, NTRE PVT. LTD., dav Bhawan, KaramToli, Ranchi -834001, :-0651- 2563952, FaX:- 0651-2561822, mail:- rpochospital@hotmail.com, MAL EYE CLINIC, ar HolyCrossSchool, a) 35, Burdwan Compo, nchi, b) Shree Sai Towers (2nd Floor), C","0651- 2563952,; 0651-2561822",rpochospital@hotmail.com; dranchal@dranchal.com,"Acceptable for Orthopedic Services only und, ircular Acceptable for Eye Services",17.07.2012,
444,Ranchi,MAL EYE CLINIC,"mail:- rpochospital@hotmail.com, ar HolyCrossSchool, a) 35, Burdwan Compo, nchi, b) Shree Sai Towers (2nd Floor), C, ad, Ranchi. / Ph: 0651-2560478, SHYAP MEMORIAL EYE HOSPITAL, rulia Road, Ranchi – 834001, : 0651-2531188, 2531255, Fax: 0651 - 253","0651-2560478; 0651-2531188, 2531255,; 0651 - 2531188",rpochospital@hotmail.com,"und, ircular Acceptable for Eye Services only 1188 Acceptable for Eye Services",17.07.2012,
445,Ranchi,SHYAP MEMORIAL EYE HOSPITAL,"rulia Road, Ranchi – 834001, : 0651-2531188, 2531255, Fax: 0651 - 253, mail: rch_kashyap@sancharnet.in, sir Sewa Kendra, Jail Road East, Ranchi-, :- 0651-2203663","0651-2531188, 2531255,; 0651 - 2531188; 0651-2203663",rch_kashyap@sancharnet.in,1188 Acceptable for Eye Services only 834001 Single speciality orthopedic,17.07.2012,
446,Ranchi,agwan Mahavir Manipal Hospital,"sir Sewa Kendra, Jail Road East, Ranchi-, :- 0651-2203663, mail:- dramitmukherjee@gmail.com, front of P.H.E.D. Colony, Near Booty Mo",0651-2203663,dramitmukherjee@gmail.com,"834001 Single speciality orthopedic treatment re, Total facilities of the hospital",18.06.2014,
447,Ranchi,agwan Mahavir Manipal Hospital,"front of P.H.E.D. Colony, Near Booty Mo, riyatu Road, Ranchi-834009., chid Medical Centre, B.Road, Ranchi – 834001, Jharkhand",,,"re, Total facilities of the hospital Modified on (OPD & Indoor) Total facilities of the hospital",06.06.2016,
448,Ranchi,chid Medical Centre,"B.Road, Ranchi – 834001, Jharkhand, .: 0651-7100100, Fax: 0651-7100101, ail: info@orchidmedcentre.com, a Ram Pyari Super Speciality Hospital, R, unit of Maa Ram Pyari Ortho Hospital Res","0651-7100100,; 0651-7100101                (",info@orchidmedcentre.com,Total facilities of the hospital (OPD & Indoor) anchi. Accepted for Total facilities earch Payments in favor of,16.07.2025,Payments in favor of
449,Ranchi,"a Ram Pyari Super Speciality Hospital, R","ail: info@orchidmedcentre.com, unit of Maa Ram Pyari Ortho Hospital Res, ntre Pvt. Ltd, rihar Singh Road, Opp. Bariatu Petrol Pu, nchi- 834008 Jharkhand, lse Superspeciality Hospital,, unit of Pulse Sanjeevani Healthcare Priv",,info@orchidmedcentre.com,"anchi. Accepted for Total facilities earch Payments in favor of Maa Rampyari mp, Superspeciality Hospital Accepted for Total facilities ate Payments in favor of",31.12.2021,Payments in favor of A unit of Pulse Sanjeevani Healthcare Private       Payments in favor of
450,Ranchi,lse Superspeciality Hospital,"rihar Singh Road, Opp. Bariatu Petrol Pu, nchi- 834008 Jharkhand, unit of Pulse Sanjeevani Healthcare Priv, mited, ar Reliance Fresh, Booty Road,, nchi-834009, Jharkhand, Samford Superspeciality Hospital,, Kokar Chowk, Kokar,, Ranchi-834001, Jharkhand",,,"mp, Superspeciality Hospital Accepted for Total facilities ate Payments in favor of Pulse Superspeciality Hosp U/O PSHC P L Accepted for Total facilities. Payments in favor of",31.12.2021,"A unit of Pulse Sanjeevani Healthcare Private       Payments in favor of Ranchi-834001, Jharkhand                                Payments in favor of"
451,Ranchi,Samford Superspeciality Hospital,"nchi-834009, Jharkhand, Kokar Chowk, Kokar,, Ranchi-834001, Jharkhand, Hill View Hospital & Research Center,, Hill View Road, Bariatu",,,Accepted for Total facilities. Payments in favor of Samford Hospital Private Limited For Orthopedic Facilities Only,31.12.2021,"Ranchi-834001, Jharkhand                                Payments in favor of"
452,Ranchi,Hill View Hospital & Research Center,"Hill View Road, Bariatu,, Ranchi, Jharkhand, PIN- 834009, “RINCHI “ Trust Hospital,, Kathal More, Itki Road",,,Limited For Orthopedic Facilities Only (OPD & Indoor) Total facilities of the hospital,19.04.2023,
453,Ranchi,“RINCHI “ Trust Hospital,"PIN- 834009, Kathal More, Itki Road,, Ranchi 835303, Jharkhand, Paras HEC Hospitals Ranchi,, (Paras Healthcare Ranchi Pvt. Ltd)., Sector 3, Dhurwa, Near JSCA Stadium",,,Total facilities of the hospital (OPD & Indoor) Total facilities of the hospital,03.10.2023,
454,Ranchi,(Paras Healthcare Ranchi Pvt. Ltd).,"Paras HEC Hospitals Ranchi,, Sector 3, Dhurwa, Near JSCA Stadium,, Ranchi, Jharkhand., PIN-834004, Anvi Newborn and Child Hospital,, 1st, 2nd, 3rd & 4th Floor, Ganesh Plaza",,,"Total facilities of the hospital (OPD & Indoor) Building, Acceptable for Paediatric",15.02.2024,
455,Ranchi,Anvi Newborn and Child Hospital,"PIN-834004, 1st, 2nd, 3rd & 4th Floor, Ganesh Plaza, Near Lalpur Police Station H.B. Road Lal, Jharkhand-834001, Anandalok Hospital, NSB Road, Searsole rajbari, Raniganj",,,"Building, Acceptable for Paediatric pur, Ranchi, Services only Total facilities of the hospital",16.07.2025,
456,,Anandalok Hospital,"Jharkhand-834001, NSB Road, Searsole rajbari, Raniganj,, Burdwan 713358, Tel: 0341-244 9721/ 9930, Email: anandalok.rng@gmail.com, Shuvadarsini Hospital & Diabetic Care, (A Unit Of Satyabrata Idealistic Pvt. Lt, Square Building, Bansara More, Raniganj",0341-244 9721/ 9930,anandalok.rng@gmail.com,"Total facilities of the hospital (OPD & Indoor) Total facilities of hospital d.), Raniganj (OPD & Indoor) PO:",23.10.2015,
457,,Shuvadarsini Hospital & Diabetic Care,"Tel: 0341-244 9721/ 9930, Email: anandalok.rng@gmail.com, (A Unit Of Satyabrata Idealistic Pvt. Lt, Square Building, Bansara More, Raniganj,, Searsole Rajbari, PS: Raniganj, District, Bardhaman, PIN:713358, Vindhya Hospital and Research Centre,, Jaistambh Near Old Bus Stand, Ward. No.",0341-244 9721/ 9930,anandalok.rng@gmail.com,"Total facilities of hospital d.), Raniganj (OPD & Indoor) PO: : Paschim 6 TOTAL Facilities of hospital",16.07.2025,
458,Rourkela,Vindhya Hospital and Research Centre,"Bardhaman, PIN:713358, Jaistambh Near Old Bus Stand, Ward. No., Bansghat Rewa Madhya Pradesh-486001, Tel: 07662-406000/ 9589899826, Jaiprakash Hospital and Research Centre, Dayananda Nagar",07662-406000/ 9589899826,,6 TOTAL Facilities of hospital 25.5.2018 (OPD & Indoor) Pvt. Ltd. TOTAL Facilities of hospital,,
459,Rourkela,Jaiprakash Hospital and Research Centre,"Tel: 07662-406000/ 9589899826, Dayananda Nagar,, Rourkela, Odisha-769004, Apollo Super Speciality Hospital,, Sector 19, Rourkella, Odisha PIN : 769005, PH :0661- 2433484, Sadguru Netra Chikitsalaya",07662-406000/ 9589899826; 0661- 2433484,,Pvt. Ltd. TOTAL Facilities of hospital (OPD & Indoor) Total facilities of hospital (OPD & Indoor) Payment as per MoU. Single specialty (Eye) (OPD &,15.06.2022,Odisha PIN : 769005                                        Payment as per MoU.
461,Rourkela,Apollo Super Speciality Hospital,"Sector 19, Rourkella, Odisha PIN : 769005, PH :0661- 2433484, Sadguru Netra Chikitsalaya,, Jankikund, Chitrakoot - 210 204, Distt., Ph. No. 05198 224432, FIMS Hospital (Frank Institute of Medica, Bahalgarh-Sonipat Road, Sonipat, Haryana",0661- 2433484,,"Total facilities of hospital (OPD & Indoor) Payment as per MoU. Single specialty (Eye) (OPD & Satna (MP) Indoor) l Science), Total facilities of hospital - (OPD & Indoor)",08.10.2025,Odisha PIN : 769005                                        Payment as per MoU.
462,,FIMS Hospital (Frank Institute of Medica,"Ph. No. 05198 224432, Bahalgarh-Sonipat Road, Sonipat, Haryana, 131001, POULOMI HOSPITALS, Plot No. A-2 & B-17, Rukminipuri Col",,,"l Science), Total facilities of hospital - (OPD & Indoor) ony, TOTAL FACILITIES of hospital",08.10.2025,
463,Secunderabad,POULOMI HOSPITALS,"Plot No. A-2 & B-17, Rukminipuri Col, d   Dr. A.S. Rao Nagar Main Road, Secund, Ph: 040-27143750-54, 27145555, Fax:, Email: poulomihospital@gmail.com, Krishna Institute of Medical Science, # 1-8-31/1,Minister Road, Secunderab","040-27143750-54, 27145555,; 27141079",poulomihospital@gmail.com,"ony, TOTAL FACILITIES of hospital erabad-062 (OPD & Indoor) -27141079 s Ltd. ad-500003 TOTAL Facilities of hospital",09.11.2012,
464,Secunderabad,Krishna Institute of Medical Science,"Ph: 040-27143750-54, 27145555, Fax:, Email: poulomihospital@gmail.com, # 1-8-31/1,Minister Road, Secunderab, d   Ph:04044885000/27725000, Fax No.0402, Email.info@kimshospitals.com, Sunshine Hospitals, 1-7-201 to 205, P.G Road, Paradise C","040-27143750-54, 27145555,; 27141079; 04044885000/27725000,",poulomihospital@gmail.com; Email.info@kimshospitals.com,-27141079 s Ltd. ad-500003 TOTAL Facilities of hospital 7840980 (OPD & Indoor) TOTAL Facilities of hospital ircle (OPD & Indoor),04.01.2013,
465,Secunderabad,Email.info@kimshospitals.com,"Sunshine Hospitals, 1-7-201 to 205, P.G Road, Paradise C, d   Secunderabad- 500003, Ph:- 040-44550000/43444546, Fax- 040, E-mail:- info@sunshinehospitals.com, Prasad Hospitals, 44-617/12, IDA Nacharam, Behind Tele, Exchange, Nacharam, Secunderabad-500","040-44550000/43444546,; 040-27890091",info@sunshinehospitals.com; Email.info@kimshospitals.com,TOTAL Facilities of hospital ircle (OPD & Indoor) N.B. – payment to be made modified on -27890091 to Sarvejana Healthcare Private Limited phone 076 TOTAL Facilities of hospital,18.06.2014,465.   Secunderabad   Secunderabad- 500003                                  N.B. – payment to be made      modified on
466,Secunderabad,Pushpagiri Eye Institute ( A divisio,"E-mail:- info@sunshinehospitals.com, Prasad Hospitals, 44-617/12, IDA Nacharam, Behind Tele, Exchange, Nacharam, Secunderabad-500, d, Tel.: +91-40-33050555/ 69992555/ 699, Mob.: +91 9010666622 Fax: 040 271565, Email: insurance@prasadhospitals.in, Vitreo retina Institute) Plot No. 24",+91-40-33050555/ 69992555/ 69992355               (; 040 27156555,info@sunshinehospitals.com; insurance@prasadhospitals.in,"Private Limited phone 076 TOTAL Facilities of hospital 92355 (OPD & Indoor) 55 n of Pushpagiri 1, Uma Plaza Eye facilities only",06.04.2017,
467,Secunderabad,Pushpagiri Eye Institute ( A divisio,"Mob.: +91 9010666622 Fax: 040 271565, Email: insurance@prasadhospitals.in, Vitreo retina Institute) Plot No. 24, d   Door No. 10-2-342, Road No. 9 West M, Secunderabad-500026, Ph.: 040-27804949/66328299 fax.: 040, Yashoda Healthcare Services Pvt. Ltd, S.P. Road, Alexander Road,, d",040 27156555; 040-27804949/66328299; 040-27805959,insurance@prasadhospitals.in,"55 n of Pushpagiri 1, Uma Plaza Eye facilities only aredpally, (OPD & Indoor) -27805959 . Total facilities of hospital (OPD & Indoor)",06.04.2011,
468,Secunderabad,Yashoda Healthcare Services Pvt. Ltd,"Secunderabad-500026, Ph.: 040-27804949/66328299 fax.: 040, S.P. Road, Alexander Road,, d, Secunderabad- 500003, Ph:- 040-27713333, Fax:-040-27703999, E-mail:- pa@yashodahospitals.com, d   Apollo Hospitals, St. Johns Road","040-27804949/66328299; 040-27805959; 040-27713333,; 040-27703999                                                  16",pa@yashodahospitals.com,-27805959 . Total facilities of hospital (OPD & Indoor) Modified on Total facilities of hospital,06.04.2011,
469,Secunderabad,"d   Apollo Hospitals, St. Johns Road","E-mail:- pa@yashodahospitals.com, Telangana PIN : 500 003, PH :040-27718888, Aditya Hospital, Near New Bypass, Rewa Road, Koni, Sh",040-27718888,pa@yashodahospitals.com,Total facilities of hospital (OPD & Indoor) Payment as per MoU. ahdol- TOTAL Facilities of hospital,08.10.2025,PH :040-27718888                                      Payment as per MoU.
470,,Aditya Hospital,"Near New Bypass, Rewa Road, Koni, Sh, 484001 Madhya Pradesh, Desun Hospital, ( A unit of PN Memorial Neurocentre, Institute Limited), Medical College",,,"ahdol- TOTAL Facilities of hospital (OPD & Indoor) and Research Road, Kawakhali TOTAL Facilities of hospital",29.10.2024,
471,Siliguri,Desun Hospital,"( A unit of PN Memorial Neurocentre, Institute Limited), Medical College, Township, P.O-Sushrutnagar, P.S--Mat, Darjeeling, Siliguri-734012, West Be, Apollo Specialty Hospital, Ariyamang, Chennai – Madurai Highway",,,"and Research Road, Kawakhali TOTAL Facilities of hospital igara, (OPD & Indoor) ngal alam Area, Total facilities of hospital (OPD & Indoor)",16.07.2025,
472,Trichy,"Apollo Specialty Hospital, Ariyamang","Darjeeling, Siliguri-734012, West Be, Chennai – Madurai Highway, Tamil Nadu PIN : 620010, PH :0431 - 3307777, Believers Church Medical College Hos, St. Thomas Nagar, Kuttapuzha P.O., T, Kerala – 689103",0431 - 3307777,,"ngal alam Area, Total facilities of hospital (OPD & Indoor) Payment as per MoU. pital hiruvalla, TOTAL Facilities of hospital",08.10.2025,472.                  Tamil Nadu PIN : 620010                               Payment as per MoU.
473,,Believers Church Medical College Hos,"St. Thomas Nagar, Kuttapuzha P.O., T, Kerala – 689103, Ph.: 0469-3023100/ +91-9495998420, Email: info@bcmch.org/ pro@bcmch.org, Laxmi Medical & Surgical Care Centre, S-17/329, Maldahiya Cantt (Opp Roadw, Workshop), Varanasi-221002",0469-3023100/ +91-9495998420                     (,info@bcmch.org; pro@bcmch.org,"pital hiruvalla, TOTAL Facilities of hospital (OPD & Indoor) Pvt. Ltd. ays Total facilities of hospital",06.04.2017,
474,Varanasi,Laxmi Medical & Surgical Care Centre,"Email: info@bcmch.org/ pro@bcmch.org, S-17/329, Maldahiya Cantt (Opp Roadw, Workshop), Varanasi-221002, Ph: 0542-2200501, 2203001-3004, Fax:, E-Mail: laxmi_medical@sify.com, LIFELINEHOSPITAL, H-2, Brij Enclave, D.L.W – B.H.U Road, S, Varanasi-221005, Ph: 0542-2316110, 23221","0542-2200501, 2203001-3004,; 2203005,        (; 0542-2316110, 2322103",info@bcmch.org; pro@bcmch.org; laxmi_medical@sify.com,"Pvt. Ltd. ays Total facilities of hospital -2203005, (OPD & Indoor) underpur, 03 Total facilities of hospital",31.03.2011,
475,Varanasi,LIFELINEHOSPITAL,"E-Mail: laxmi_medical@sify.com, H-2, Brij Enclave, D.L.W – B.H.U Road, S, Varanasi-221005, Ph: 0542-2316110, 23221, Maxwell Super Multispeciality Hospital P, Limited","0542-2316110, 2322103",laxmi_medical@sify.com,"underpur, 03 Total facilities of hospital (OPD & Indoor) rivate Total facilities of hospital",05.04.2011,
476,Varanasi,Maxwell Super Multispeciality Hospital P,"Limited,, Dafi, Bypass, Near Toll Tax Plaza, N.H.-, 221011, GALAXY LIFECARE SERVICES LIMITED, Plot No. 4&5 Dayal Enclave, Mahmoorganj",,,"rivate Total facilities of hospital 2, Varanasi- (OPD & Indoor) Total facilities of hospital",12.05.2025,
477,Varanasi,GALAXY LIFECARE SERVICES LIMITED,"221011, Plot No. 4&5 Dayal Enclave, Mahmoorganj,, Varanasi – 221010, Ph:- 0542-2221444, E-mail: gmcvaranasi@gmail.com, POPULAR MEDICARE LTD., N-10/60 A2, D.L.W Road, In front of Fly",0542-2221444,gmcvaranasi@gmail.com,Total facilities of hospital (OPD & Indoor) Over Total facilities of hospital,17.07.2012,
478,Varanasi,POPULAR MEDICARE LTD.,"Ph:- 0542-2221444, E-mail: gmcvaranasi@gmail.com, N-10/60 A2, D.L.W Road, In front of Fly, Kakarmatta, Varanasi-221009, Ph:-0542-2300258, FaX:-0542-2300256, E-mail:- popularhospital@gmail.com, THE FRACTURE’S CLINIC & TRAUMAHOSPITAL, B-38/695, Mahmoorganj, Varanasi-221010","0542-2221444; 0542-2300258,; 0542-2300256",gmcvaranasi@gmail.com; popularhospital@gmail.com,Over Total facilities of hospital (OPD & Indoor) Acceptable for Orthopedic,17.07.2012,
